Access From [JDUT1],Access Duration [s],POI index,Ground Pixel Along-Track Resolution [m],Ground Pixel Cross-Track Resolution [m],SNR,DR,Noise-Equivalent Delta T [K],Coverage [T/F]
2458639.165023365,0.004023313522,0,29.946751863354063,29.946751863354063,574.2012977897039,16505.332313906903,nan,True
2458639.233749879,0.0030174851419999997,0,29.94675186343461,29.946751863451144,497.3301402225486,12386.831178385706,nan,True
2458639.302476393,0.0030174851419999997,0,29.946751863403346,29.94675186340942,497.4724449967088,12393.909454629957,nan,True
2458639.3712028954,0.004023313522,0,29.94675186339606,29.946751863396788,574.7344459654389,16535.960008476417,nan,True
2458639.4399294094,0.004023313522,0,29.946751863416132,29.946751863416683,574.8928999194435,16545.068171690215,nan,True
2458639.5086559234,0.0030174851419999997,0,29.94675186348331,29.94675186349437,497.93544471552417,12416.953192984332,nan,True
2458639.5773824374,0.0030174851419999997,0,29.9467518634744,29.94675186347738,498.0675099037756,12423.530075868335,nan,True
2458639.64610894,0.004023313522,0,29.94675186348978,29.946751863489816,575.4118994871434,16574.91859980621,nan,True
2458639.714835454,0.0030174851419999997,0,29.94675186359617,29.94675186361371,498.3620082266146,12438.202454822504,nan,True
2458639.783561968,0.0030174851419999997,0,29.94675186358257,29.946751863589256,498.514599148793,12445.808190452972,nan,True
2458639.85228847,0.004023313522,0,29.94675186359276,29.946751863593708,575.9142282148426,16603.835851179607,nan,True
2458639.921014984,0.004023313522,0,29.946751863626197,29.946751863626602,576.0953222556918,16614.266969498032,nan,True
2458639.989741498,0.0030174851419999997,0,29.946751863713484,29.946751863725396,498.95275683200794,12467.660645893086,nan,True
2458640.058468012,0.0030174851419999997,0,29.94675186368334,29.946751863686753,499.0932879837728,12474.673491880985,nan,True
2458640.1271945145,0.004023313522,0,29.946751863631235,29.94675186363129,576.5878286744603,16642.652202994217,nan,True
2458640.1959210285,0.0030174851419999997,0,29.946751863674237,29.946751863692846,499.37901734900015,12488.938171288017,nan,True
2458640.2646475425,0.0030174851419999997,0,29.94675186359117,29.94675186359851,499.52359439792974,12496.159109325285,nan,True
2458640.333374045,0.004023313522,0,29.94675186353135,29.94675186353255,577.0646294322397,16670.155360864526,nan,True
2458640.402100559,0.004023313522,0,29.94675186349602,29.94675186349623,577.2386351499441,16680.198143676887,nan,True
2458640.470827073,0.0030174851419999997,0,29.94675186352093,29.946751863533706,499.9504573073159,12517.491083779889,nan,True
2458640.539553587,0.0030174851419999997,0,29.94675186345654,29.946751863460424,500.08711527372833,12524.324256209122,nan,True
2458640.608280089,0.004023313522,0,29.9467518634171,29.94675186341725,577.7247697045684,16708.27156489419,nan,True
