POI index,Gaps [Days],Max Coverage Gap [Days],Mean Coverage Gap [Days],Time Average Gap [Days],Percentage Coverage
846,"[0.29585455 0.30239854 0.18522804 0.30239902 0.59825042 0.30893906
 0.29585305 0.30239796 0.48762719 0.59825232 0.3089389  0.29585206
 0.30239739]",0.5982523174025118,0.3526452676249811,0.3614303625749197,1.0943040251851851e-05
847,"[0.30239743 0.29585213 0.30893894 0.59825212 0.48762721 0.30239801
 0.29585317 0.30893905 0.30239422 0.29585601 0.30239895 0.18522806
 0.30239859 0.29585474 0.30893866]",0.598252119962126,0.3262218182596068,0.34473289322211315,1.2340024113888888e-05
848,"[0.29585253 0.30239548 1.39482034 0.29585382 0.3023949  0.30893852
 0.5982538 ]",1.3948203367181122,0.4997870542242059,0.5513636575381823,6.519258022222222e-06
849,"[0.29585175 0.30239706 1.09242355 0.3023967  0.29585157 0.30239648
 0.60479678 0.48762661 0.30239727 0.29585193 0.30239589]",1.0924235475249588,0.4167623253200542,0.5033503188379422,9.778887033333333e-06
850,"[0.59825479 0.30893819 0.30239511 0.29585326 1.39482057 0.30239569
 0.2958522 ]",1.3948205700144172,0.49978711595758796,0.5513639305657536,6.519258022222221e-06
851,"[0.29585407 0.30239836 0.48762716 0.5982509  0.30893906 0.29585271
 0.30239779 0.48762711 0.59825296 0.30893876 0.29585188 0.30239721]",0.5982529576867819,0.3820323325150336,0.3838355513036291,1.0477378964351854e-05
852,"[0.30239759 0.29585236 0.30893903 0.59825153 0.48762721 0.30239819
 0.29585356 0.308939   0.30239438 0.29585541 0.30239879 0.18522808
 0.30239876 0.29585527 0.30893844]",0.5982515262439847,0.32622183924540876,0.3447328580130727,1.3038516044444443e-05
853,"[0.29585285 0.30239531 1.39482012 0.29585428 0.30239473 0.30893872
 0.59825311]",1.3948201155290008,0.49978701763653327,0.5513634471307395,6.053596735185185e-06
854,"[0.29585164 0.30239689 1.09242357 0.30239686 0.29585163 0.30239631
 0.60479646 0.48762682 0.30239744 0.29585213 0.30239573]",1.0924235708080232,0.4167623168534853,0.5033502907880537,9.313225746296297e-06
855,[0.30239528 0.29585291 1.39482069 0.30239587 0.29585198 1.39482077],1.394820767454803,0.6643562477547675,0.8497986440290795,5.587935447685185e-06
856,"[0.29585363 0.3023982  0.48762721 0.59825144 0.30893904 0.29585242
 0.30239763 0.48762701 0.59825365 0.30893858 0.29585173 0.30239704]",0.5982536454685032,0.38203229759043705,0.383835644245538,1.0011717677314813e-05
857,"[0.29585265 0.30893906 0.59825099 0.48762718 0.30239834 0.29585399
 0.30893889 0.30239454 0.29585485 0.30239863 0.18522807 0.30239892
 0.29585587 0.30893818]",0.5982509907335043,0.32792358359854135,0.32644395086092126,1.2340024113425927e-05
858,"[0.2958532  0.30239514 0.30893814 0.59825493 0.48762671 0.29585478
 0.30239457 0.30893886 0.59825245]",0.598254925571382,0.3887231970826785,0.3004850423231761,8.614733814814815e-06
859,"[0.29585158 0.30239673 1.09242356 0.30239702 0.29585171 0.30239614
 0.60479612 0.48762699 0.3023976  0.29585238 0.30239557]",1.0924235587008297,0.4167623094029047,0.5033502474589964,9.546056389814816e-06
860,[0.30239545 0.29585258 1.39482077 0.30239602 0.29585182 1.3948207 ],1.394820767454803,0.6643562224538376,0.8497986322395583,5.820766091203703e-06
861,"[0.30239804 0.48762721 0.59825202 0.30893896 0.29585217 0.30239747
 0.48762685 0.59825437 0.30893834 0.29585164 0.30239688]",0.5982543667778373,0.38986672181636095,0.3663299109261811,8.84756445925926e-06
862,"[0.29585299 0.30893908 0.59825049 0.30239904 0.18522802 0.3023985
 0.29585447 0.30893874 0.30239472 0.29585434 0.30239845 0.48762713
 0.60479441]",0.6047944072633982,0.3531484898681251,0.36300442510211994,1.1641532182407408e-05
863,"[0.29585361 0.30239499 0.30893841 0.59825417 0.4876269  0.29585534
 0.3023944  0.30893898 0.59825185 0.48762721]",0.5982541688717902,0.39861358562484384,0.34804093855931884,8.14907252824074e-06
864,"[0.29585157 0.30239656 1.09242349 0.30239719 0.29585185 0.30239599
 0.60479579 0.4876271  0.30239777 0.29585268 0.3023954 ]",1.092423489317298,0.41676230724392965,0.5033501908733016,9.546056389814814e-06
865,[0.30239561 0.2958523  1.39482079 0.30239618 0.29585169 1.39482058],1.3948207907378674,0.6643561933500072,0.8497985714867251,6.053596734722222e-06
866,"[0.30239787 0.48762716 0.59825263 0.30893884 0.29585196 0.30239729
 0.48762664 0.59825513 0.30893806 0.29585158 0.30239672]",0.5982551346533,0.3898667185990648,0.3663300512144615,9.313225746296297e-06
867,"[0.29585336 0.30893903 0.3023943  0.2958557  0.30239887 0.18522807
 0.30239868 0.295855   0.30893854 0.30239488 0.29585388 0.3023983
 0.4876272  0.60479474 0.30239546]",0.6047947448678315,0.32622173444057506,0.34550700384727867,1.2107193470370375e-05
868,"[0.29585405 0.30239481 0.30893862 0.59825344 0.48762704 0.29585592
 0.30239424 0.30893906 0.59825128 0.48762721]",0.5982534354552627,0.39861356699839234,0.34804077021724195,8.614733815277778e-06
869,"[0.30239639 0.60479662 0.48762673 0.30239736 0.29585204 0.30239581
 0.60479547 0.48762718 0.30239794 0.295853   0.30239523]",0.6047966191545129,0.3898667067458684,0.36787847819101965,9.313225746296297e-06
870,[0.30239578 0.29585208 1.39482079 0.30239636 0.29585161 1.39482043],1.3948207907378674,0.6643561739474535,0.8497984922725458,5.355104804166667e-06
871,"[0.30239771 0.48762707 0.5982533  0.30893867 0.29585179 0.30239713
 1.39482019 0.29585157 0.30239656]",1.3948201858438551,0.4765037750411365,0.6172084251225745,7.683411240740741e-06
872,"[0.29585377 0.30893894 0.30239446 0.29585512 0.30239871 0.18522808
 0.30239884 0.29585556 0.30893831 0.30239504 0.29585344 0.30239813
 0.48762722 0.60479507 0.30239561]",0.6047950708307326,0.32622175381208457,0.3455070788731279,1.3504177331481484e-05
873,"[0.48762659 0.29585453 0.30239465 0.30893879 0.59825277 0.48762714
 0.59825068 0.30893907 0.59825076 0.48762715]",0.5982527718879282,0.44737621350213885,0.4313826672432836,9.080395102314814e-06
874,"[0.30239623 0.60479629 0.48762692 0.30239752 0.29585225 0.30239565
 0.60479514 0.48762721 0.30239809 0.29585337 0.30239507 0.30893827]",0.6047962927259505,0.3831226675538346,0.386966980055467,1.0244548320833335e-05
875,"[0.30239594 0.29585189 1.39482073 0.30239652 0.29585157 1.39482022
 0.30239709]",1.3948207325302064,0.6126477089710534,0.8680871550130022,6.75208866574074e-06
876,"[0.30239754 0.48762693 0.59825401 0.30893846 0.29585169 0.30239697
 1.39482039 0.2958516  0.30239638]",1.3948203944601119,0.47650377369589275,0.6172085881364537,7.683411240740741e-06
877,"[0.30893882 0.30239464 0.29585459 0.30239853 0.18522804 0.302399
 0.29585617 0.30893803 0.30239522 0.29585306 0.30239796 0.48762718
 0.60479541 0.30239579]",0.6047954084351659,0.3283908888697624,0.3280012166291058,1.2107193469907408e-05
