POI index,Mean of Observation Range [km],Mean of Look angle [deg],Mean of Incidence angle [deg],Mean of Solar Zenith [deg],SD of Observation Range [km],SD of Look angle [deg],SD of Incidence angle [deg],SD of Solar Zenith [deg]
63,6188.19738860085,56.97632642643706,68.58665214710828,nan,nan,nan,nan,nan
64,4813.324203087248,61.39637871815415,77.10854324238693,89.72083337815592,nan,nan,nan,nan
67,3906.9380047179375,63.446279401248525,83.32812551096964,66.35310898824221,nan,nan,nan,nan
72,4902.003759692778,61.159127422747524,76.52378294785724,81.7205532085035,nan,nan,nan,nan
73,6273.712951643632,56.67050118364255,68.0595624977785,nan,nan,nan,nan,nan
74,6943.9905599383155,54.092038057777216,64.0455179190564,nan,nan,nan,nan,nan
75,6999.417157208536,53.86867074734154,63.71436706388538,nan,nan,nan,nan,nan
78,5451.513526063868,59.50603636958505,73.06015786212288,11.490853712906663,nan,nan,nan,nan
80,7798.754378362628,50.48266454429845,58.91176078894018,nan,nan,nan,nan,nan
81,9546.894331050924,41.91910489882789,47.8751724311609,64.64515483206753,nan,nan,nan,nan
82,11015.77798276507,33.019654807219375,37.22614518845854,81.0058449653487,nan,nan,nan,nan
85,11442.657236214336,29.959413459019554,33.66757475922819,nan,nan,nan,nan,nan
86,10088.652237793784,38.86816264907584,44.1570786922078,nan,nan,nan,nan,nan
87,7984.813615391479,49.648890942933676,57.784732644005295,33.987240385973436,nan,nan,nan,nan
92,12112.983591183569,24.4361909146942,27.343347015435253,nan,nan,nan,nan,nan
93,11918.71057877906,26.154805662866746,29.303245914243234,nan,nan,nan,nan,nan
94,11009.491652979536,33.064439165804714,37.28228947264754,nan,nan,nan,nan,nan
98,5457.7069831181625,59.478448868627254,73.0345618392488,69.4266573410503,nan,nan,nan,nan
100,6347.002612422039,56.39588873185882,67.6268193147601,87.11366409676512,nan,nan,nan,nan
102,6965.035953962476,54.00117424554799,63.934549009251384,nan,nan,nan,nan,nan
105,2836.038892158844,64.1557115894443,87.74496002544849,nan,nan,nan,nan,nan
107,2706.203919443043,64.01182855740487,86.43170721424283,53.604221343895595,nan,nan,nan,nan
108,3468.741307183099,64.06092103543378,86.66018594825681,nan,nan,nan,nan,nan
109,1012.9329760175732,43.06076984518703,49.285793701099436,nan,nan,nan,nan,nan
127,9825.82955191439,40.3767844173199,45.985079973804254,nan,nan,nan,nan,nan
128,8149.876501582139,48.896210300805386,56.77340689573128,nan,nan,nan,nan,nan
129,5968.811448727777,57.768460069931876,69.8950395012791,nan,nan,nan,nan,nan
130,3473.672921715625,64.04677809506542,86.63251069217726,nan,nan,nan,nan,nan
131,5973.420836661958,57.748181213459006,69.87455820022535,nan,nan,nan,nan,nan
142,4066.730403772733,63.162873253723475,82.161443471233,nan,nan,nan,nan,nan
143,5526.5910409742,59.2606480816105,72.60178483377489,nan,nan,nan,nan,nan
144,6857.038560493467,54.43569513222996,64.57348187509443,86.48547260454856,nan,nan,nan,nan
145,7684.65375584607,50.9824229731277,59.60997271101263,80.96946622655558,nan,nan,nan,nan
146,7849.961548096501,50.252906888728035,58.609022084568636,84.68880829879389,nan,nan,nan,nan
147,7300.503145126298,52.62638968972558,61.9209970237001,nan,nan,nan,nan,nan
148,6062.135619353082,57.434224553942,69.33822835497547,nan,nan,nan,nan,nan
149,4230.245392726621,62.82867179891365,81.0108058994892,nan,nan,nan,nan,nan
150,1987.7262145142843,61.54171421058755,77.4434744152518,nan,nan,nan,nan,nan
151,1016.8451028416304,43.20243434973175,49.46817701198232,nan,nan,nan,nan,nan
152,1336.2184897378027,53.52768951164432,63.22645045726586,21.073958793604557,nan,nan,nan,nan
157,8441.112469226307,47.531900891327524,54.98197830221652,nan,nan,nan,nan,nan
158,8942.117597098173,45.08013628769829,51.82513000046124,nan,11.975355468647004,0.06066349092127648,0.07340783789896879,nan
163,2777.4779966775686,64.11087963423392,87.17533317545625,16.490282108467145,19.030327424029768,0.025582034048011043,0.1980263572682026,nan
169,9640.780685354628,41.40639172909142,47.24465206958918,87.55224792574249,nan,nan,nan,nan
170,10091.926744763854,38.849848877357715,44.14166584236801,89.90963442724394,nan,nan,nan,nan
174,5864.177452576917,58.1317253651305,70.53171380232833,nan,nan,nan,nan,nan
178,5856.457282699622,58.15395848956546,70.58644406200565,70.29992371094728,nan,nan,nan,nan
180,9107.334846528105,44.2396752617719,50.763472873380394,87.40075189833576,nan,nan,nan,nan
183,9632.286295144775,41.45315929177176,47.30798863623648,78.67268065631853,nan,nan,nan,nan
184,8543.13558083319,47.04352953437761,54.34852823295024,62.77301803494144,nan,nan,nan,nan
185,6987.223971499256,53.91545041846208,63.79315987926665,nan,nan,nan,nan,nan
189,2771.2204058413804,64.0962691321677,87.1026846094835,53.294889188623394,nan,nan,nan,nan
191,6656.88204250361,55.22081569937835,65.769636775534,84.31244579451796,16.373112642824076,0.06171688842966557,0.10154765236640413,nan
196,7400.204473555032,52.2064950870503,61.32296638578646,62.646982603808844,15.688399072284415,0.06761637711869159,0.09091967493418775,nan
