Access From [JDUT1],Access Duration [s],POI index,Ground Pixel Along-Track Resolution [m],Ground Pixel Cross-Track Resolution [m],Sigma NEZ Nought [dB],Incidence angle [deg],Swath-width [km],Coverage [T/F]
2458643.257152946,2.614711225033,103,4.903945692145003,22.534770726064405,-22.426770204973682,24.84166615268453,94.89212268173597,True
2458645.2664102353,2.594675123692,103,4.903970883396704,23.833334879499372,-22.80191075484413,23.40464065448061,94.88707525144699,True
2458646.4407834825,2.534566819668,103,4.903856681745798,27.43741627155863,-23.666095730022402,20.184513734527105,94.90995800144829,True
2458647.2756670397,2.5546029210089998,103,4.903996952819621,25.286754632877702,-23.178386725918823,21.986670347322814,94.88185197253928,True
2458648.4500392433,2.56462097168,103,4.903877507333588,25.746559676346223,-23.283971927038827,21.574127863065545,94.90578499456815,True
2458649.2849231483,2.544584870338,103,4.904023819802113,26.918294699182248,-23.559720804579133,20.591252719466688,94.87646900671568,True
2458650.459295605,2.57463902235,103,4.9038995470177476,24.24174971086567,-22.90697031066547,22.98748089339606,94.90136878316754,True
2458652.468552525,2.604693174362,103,4.903922747805879,22.898347592542887,-22.534156007557815,24.42121704868646,94.89671999801277,True
2458654.4778099093,2.634747326374,103,4.9039470213941145,21.695959252934603,-22.164815528872538,25.871516527333572,94.89185634502029,True
2458640.208495072,2.594675123692,104,4.903904611868877,23.535327775893514,-22.71549900334353,23.719031140023866,94.90035392224414,True
2458641.382868667,2.5245487689969996,104,4.90380648313753,27.84194347526565,-23.750775931892218,19.87877670930847,94.92001702164977,True
2458642.2177519924,2.56462097168,104,4.903928041520808,24.9529151469597,-23.090978348160263,22.29650795282843,94.89565929841972,True
2458643.392124333,2.544584870338,104,4.903823696892712,26.106164360973203,-23.367359605004303,21.26239460323959,94.91656760800491,True
2458644.227008217,2.544584870338,104,4.903952484258861,26.543044792981238,-23.471092918043148,20.89588149536483,94.8907617739661,True
2458645.4013804416,2.584657073021,104,4.903842300882029,24.562342496873093,-22.989259801897603,22.670606103525934,94.91283966211498,True
2458646.236263999,2.5245487689969996,104,4.903977868478485,28.332433089874495,-23.85947528569091,19.520531481883058,94.88567570742678,True
2458647.410637246,2.604693174362,104,4.903862239455403,23.185067965494007,-22.615563222167253,24.099893813168965,94.90884434740381,True
2458649.419894651,2.6247292757030003,104,4.903883452545065,21.95296352098507,-22.245475602082678,25.54666781500656,94.90459371264392,True
2458640.3434653943,2.56462097168,105,4.903794823686295,24.890846597088746,-23.07192802092495,22.35510715982238,94.92235345132598,True
2458641.1783491834,2.5245487689969996,105,4.903910869939364,27.920211030630398,-23.769861461441092,19.82071285366372,94.89909997763215,True
2458642.3527219878,2.594675123692,105,4.9038110256637495,23.478682897889918,-22.69729697668497,23.77977981051784,94.91910675366886,True
2458644.361979256,2.6247292757030003,105,4.903828668730156,22.216024404979553,-22.326422740637124,25.22282484165024,94.91557132487922,True
2458654.2045031777,2.634747326374,105,4.904109458209928,21.387645358828195,-22.070405832820967,26.27275267797747,94.85931158450457,True
