POI,lat[deg],lon[deg]
434,-81.9101,252
435,-81.9101,259.2
436,-81.9101,266.4
437,-81.9101,273.6
438,-81.9101,280.8
439,-81.9101,288
440,-81.9101,295.2
441,-81.9101,302.4
442,-81.9101,309.6
443,-81.9101,316.8
444,-81.9101,324
445,-81.9101,331.2
446,-81.9101,338.4
447,-81.9101,345.6
448,-81.9101,352.8
449,80.8989,0
450,80.8989,6.42857
451,80.8989,12.8571
452,80.8989,19.2857
453,80.8989,25.7143
454,80.8989,32.1429
455,80.8989,38.5714
456,80.8989,45
457,80.8989,51.4286
458,80.8989,57.8571
459,80.8989,64.2857
460,80.8989,70.7143
461,80.8989,77.1429
462,80.8989,83.5714
463,80.8989,90
464,80.8989,96.4286
465,80.8989,102.857
466,80.8989,109.286
467,80.8989,115.714
468,80.8989,122.143
469,80.8989,128.571
470,80.8989,135
471,80.8989,141.429
472,80.8989,147.857
473,80.8989,154.286
474,80.8989,160.714
475,80.8989,167.143
476,80.8989,173.571
477,80.8989,180
478,80.8989,186.429
479,80.8989,192.857
480,80.8989,199.286
481,80.8989,205.714
482,80.8989,212.143
483,80.8989,218.571
484,80.8989,225
485,80.8989,231.429
486,80.8989,237.857
487,80.8989,244.286
488,80.8989,250.714
489,80.8989,257.143
490,80.8989,263.571
491,80.8989,270
492,80.8989,276.429
493,80.8989,282.857
494,80.8989,289.286
495,80.8989,295.714
496,80.8989,302.143
497,80.8989,308.571
498,80.8989,315
499,80.8989,321.429
500,80.8989,327.857
501,80.8989,334.286
502,80.8989,340.714
503,80.8989,347.143
504,80.8989,353.571
505,-80.8989,0
506,-80.8989,6.42857
507,-80.8989,12.8571
508,-80.8989,19.2857
509,-80.8989,25.7143
510,-80.8989,32.1429
511,-80.8989,38.5714
512,-80.8989,45
513,-80.8989,51.4286
514,-80.8989,57.8571
515,-80.8989,64.2857
516,-80.8989,70.7143
517,-80.8989,77.1429
518,-80.8989,83.5714
519,-80.8989,90
520,-80.8989,96.4286
521,-80.8989,102.857
522,-80.8989,109.286
523,-80.8989,115.714
524,-80.8989,122.143
525,-80.8989,128.571
526,-80.8989,135
527,-80.8989,141.429
528,-80.8989,147.857
529,-80.8989,154.286
530,-80.8989,160.714
531,-80.8989,167.143
532,-80.8989,173.571
533,-80.8989,180
534,-80.8989,186.429
535,-80.8989,192.857
536,-80.8989,199.286
537,-80.8989,205.714
538,-80.8989,212.143
539,-80.8989,218.571
540,-80.8989,225
541,-80.8989,231.429
542,-80.8989,237.857
543,-80.8989,244.286
544,-80.8989,250.714
545,-80.8989,257.143
546,-80.8989,263.571
547,-80.8989,270
548,-80.8989,276.429
549,-80.8989,282.857
550,-80.8989,289.286
551,-80.8989,295.714
552,-80.8989,302.143
553,-80.8989,308.571
554,-80.8989,315
555,-80.8989,321.429
556,-80.8989,327.857
557,-80.8989,334.286
558,-80.8989,340.714
559,-80.8989,347.143
560,-80.8989,353.571
561,79.8876,0
562,79.8876,5.80645
563,79.8876,11.6129
564,79.8876,17.4194
565,79.8876,23.2258
566,79.8876,29.0323
567,79.8876,34.8387
568,79.8876,40.6452
569,79.8876,46.4516
570,79.8876,52.2581
571,79.8876,58.0645
572,79.8876,63.871
573,79.8876,69.6774
574,79.8876,75.4839
575,79.8876,81.2903
576,79.8876,87.0968
577,79.8876,92.9032
578,79.8876,98.7097
579,79.8876,104.516
580,79.8876,110.323
581,79.8876,116.129
582,79.8876,121.935
583,79.8876,127.742
584,79.8876,133.548
585,79.8876,139.355
586,79.8876,145.161
587,79.8876,150.968
588,79.8876,156.774
589,79.8876,162.581
590,79.8876,168.387
591,79.8876,174.194
592,79.8876,180
593,79.8876,185.806
594,79.8876,191.613
595,79.8876,197.419
596,79.8876,203.226
597,79.8876,209.032
598,79.8876,214.839
599,79.8876,220.645
600,79.8876,226.452
601,79.8876,232.258
602,79.8876,238.065
603,79.8876,243.871
604,79.8876,249.677
605,79.8876,255.484
606,79.8876,261.29
607,79.8876,267.097
608,79.8876,272.903
609,79.8876,278.71
610,79.8876,284.516
611,79.8876,290.323
612,79.8876,296.129
613,79.8876,301.935
614,79.8876,307.742
615,79.8876,313.548
616,79.8876,319.355
617,79.8876,325.161
618,79.8876,330.968
619,79.8876,336.774
620,79.8876,342.581
621,79.8876,348.387
622,79.8876,354.194
623,-79.8876,0
624,-79.8876,5.80645
625,-79.8876,11.6129
626,-79.8876,17.4194
627,-79.8876,23.2258
628,-79.8876,29.0323
629,-79.8876,34.8387
630,-79.8876,40.6452
631,-79.8876,46.4516
632,-79.8876,52.2581
633,-79.8876,58.0645
634,-79.8876,63.871
635,-79.8876,69.6774
636,-79.8876,75.4839
637,-79.8876,81.2903
638,-79.8876,87.0968
639,-79.8876,92.9032
640,-79.8876,98.7097
641,-79.8876,104.516
642,-79.8876,110.323
643,-79.8876,116.129
644,-79.8876,121.935
645,-79.8876,127.742
646,-79.8876,133.548
647,-79.8876,139.355
648,-79.8876,145.161
649,-79.8876,150.968
650,-79.8876,156.774
651,-79.8876,162.581
652,-79.8876,168.387
653,-79.8876,174.194
654,-79.8876,180
655,-79.8876,185.806
656,-79.8876,191.613
657,-79.8876,197.419
658,-79.8876,203.226
659,-79.8876,209.032
660,-79.8876,214.839
661,-79.8876,220.645
662,-79.8876,226.452
663,-79.8876,232.258
664,-79.8876,238.065
665,-79.8876,243.871
666,-79.8876,249.677
667,-79.8876,255.484
668,-79.8876,261.29
669,-79.8876,267.097
670,-79.8876,272.903
671,-79.8876,278.71
672,-79.8876,284.516
673,-79.8876,290.323
674,-79.8876,296.129
675,-79.8876,301.935
676,-79.8876,307.742
677,-79.8876,313.548
678,-79.8876,319.355
679,-79.8876,325.161
680,-79.8876,330.968
681,-79.8876,336.774
682,-79.8876,342.581
683,-79.8876,348.387
684,-79.8876,354.194
685,78.8764,0
686,78.8764,5.29412
687,78.8764,10.5882
688,78.8764,15.8824
689,78.8764,21.1765
690,78.8764,26.4706
691,78.8764,31.7647
692,78.8764,37.0588
693,78.8764,42.3529
694,78.8764,47.6471
695,78.8764,52.9412
696,78.8764,58.2353
697,78.8764,63.5294
698,78.8764,68.8235
699,78.8764,74.1176
700,78.8764,79.4118
701,78.8764,84.7059
702,78.8764,90
703,78.8764,95.2941
704,78.8764,100.588
705,78.8764,105.882
706,78.8764,111.176
707,78.8764,116.471
708,78.8764,121.765
709,78.8764,127.059
710,78.8764,132.353
711,78.8764,137.647
712,78.8764,142.941
713,78.8764,148.235
714,78.8764,153.529
715,78.8764,158.824
716,78.8764,164.118
717,78.8764,169.412
718,78.8764,174.706
719,78.8764,180
720,78.8764,185.294
721,78.8764,190.588
722,78.8764,195.882
723,78.8764,201.176
724,78.8764,206.471
725,78.8764,211.765
726,78.8764,217.059
727,78.8764,222.353
728,78.8764,227.647
729,78.8764,232.941
730,78.8764,238.235
731,78.8764,243.529
732,78.8764,248.824
733,78.8764,254.118
734,78.8764,259.412
735,78.8764,264.706
736,78.8764,270
