POI index,Mean of Ground Pixel Along-Track Resolution [m],Mean of Ground Pixel Cross-Track Resolution [m],Mean of SNR,Mean of DR,Mean of Noise-Equivalent Delta T [K],SD of Ground Pixel Along-Track Resolution [m],SD of Ground Pixel Cross-Track Resolution [m],SD of SNR,SD of DR,SD of Noise-Equivalent Delta T [K]
997,29.946751863532384,30.108870349022677,491.2085267019611,14146.004612023175,,1.6024065842817886e-10,0.18533013394644907,217.0858147227936,11160.776773435964,
998,29.94675186356181,30.14796380478854,489.03165692494525,16593.384941254848,,1.5056476207195274e-10,0.17592127288948523,316.2599382685866,14630.789469918247,
999,29.946751863555807,30.260843076111623,417.7935921203568,11852.334349687335,,1.1168471412260966e-10,0.15566512751564252,264.3167264227799,11742.950396033084,
1000,29.946751863491258,30.223240660219815,493.69726236575775,15309.665874942702,,1.2419893099496144e-10,0.16823391223483786,259.29661133258116,12916.023838940588,
1001,29.946751863527986,30.19874064249336,448.365518194526,15965.016843085588,,1.1066788307148803e-10,0.16979321232194547,356.3115183804533,14573.764331355153,
1002,29.946751863521115,30.261981248495,504.40605698310566,15549.464046982226,,1.6212566801178106e-10,0.2178533175557739,251.37110420454513,11774.871192058037,
1003,29.94675186355852,30.111536039411035,509.821486638385,18085.990397319783,,1.5148224660818575e-10,0.1777520335947909,331.45542172821496,15941.468208276512,
1004,29.946751863495667,30.0664284059859,496.1762283266837,17663.91498103547,,1.0835048436988033e-10,0.1852257988376518,349.198074518467,14523.79768488842,
1005,29.946751863515164,30.000515705235532,532.8630816292822,16681.18129708817,,9.478598630532601e-11,0.07190490765613651,235.46064204101586,13490.772446789084,
1006,29.94675186348193,30.082042399721956,424.7581307703,13542.280342682712,,1.1377487628800951e-10,0.1909980598379439,314.71638635635026,13088.563739124074,
1007,29.946751863532292,30.10625143961344,535.0048162881483,17851.958800736902,,8.126788931341417e-11,0.19584942240736677,283.6786332368424,11480.89170079492,
1008,29.946751863557676,30.17580529984574,464.00566358062736,12887.811209024152,,1.8829018463491797e-10,0.16190237386110337,216.1697302397968,10726.145657887015,
1009,29.94675186352062,30.20321437701219,472.4892323342991,15695.15173788411,,1.207736172351133e-10,0.1789080624078343,312.7147375011742,13156.835200646028,
1010,29.946751863532327,30.29525600535469,388.446445094625,10323.701704001493,,1.3844589429746758e-10,0.14836539859188724,246.39242147421754,9790.643112527376,
1011,29.946751863475274,30.222628134648588,510.8595949046788,17837.286745933652,,1.4755266833411892e-10,0.17980011781364502,321.44360188179525,16127.339800392403,
1012,29.946751863533965,30.175854373516717,499.0679884035473,17437.371214273455,,9.190663231193086e-11,0.18607566252770424,329.1162227878178,13593.611619973275,
1013,29.946751863553136,30.12806745605019,500.4371587460246,14958.867260112931,,1.878654808057385e-10,0.20738933879005172,235.0469083805522,12210.828258121846,
1014,29.946751863545092,30.04845312278542,456.69805184606884,14779.877455703509,,1.1180180040869877e-10,0.1544535638541723,307.4249777048681,14141.447019956226,
1015,29.946751863507078,29.99725470875328,430.75322157657075,14108.674171470988,,9.915350472227109e-11,0.06855148032765455,335.0743175774603,13526.288540064466,
1016,29.94675186352205,29.99113375730064,570.593549763286,19136.65933980733,,1.925161250667646e-10,0.045862006195672635,254.68642358694046,15473.252628608996,
