POI index,Mean of Ground Pixel Along-Track Resolution [m],Mean of Ground Pixel Cross-Track Resolution [m],Mean of Sigma NEZ Nought [dB],Mean of Incidence angle [deg],Mean of Swath-width [km],SD of Ground Pixel Along-Track Resolution [m],SD of Ground Pixel Cross-Track Resolution [m],SD of Sigma NEZ Nought [dB],SD of Incidence angle [deg],SD of Swath-width [km]
395,4.903927775822062,23.155766469739874,-22.610130166286535,24.132564037956175,94.8957147113462,0.00023458235972475606,0.09432172572405914,0.03493016413088675,0.10455787048278957,0.04700308802644475
396,4.904237621084034,25.162757135376896,-23.153954462746874,22.10071390277967,94.83363666656292,nan,nan,nan,nan,nan
397,4.90373210735112,23.98297985037732,-22.780914729912794,23.498615306063087,94.93492150566348,4.554087061519696e-06,3.2417574601286074,0.8813477130672605,3.3652969490615248,0.0009126398391550306
398,4.9040182295452235,24.53945852959315,-22.952217281903543,22.870264246188384,94.87759138008835,0.00021073670176358393,2.4977566475128166,0.6408693251777836,2.4077186041273646,0.042224120624836145
399,4.904270032458268,24.01343892992453,-22.86094770199221,23.218770399098467,94.82714409471932,nan,nan,nan,nan,nan
400,4.903740003563055,25.139888406546643,-23.076838069278068,22.3880850428068,94.93333910885559,5.811454769579784e-06,3.6285916250445407,0.9098936232877783,3.4045675648137896,0.0011646092901693263
401,4.904044601967782,24.181574406066034,-22.85627264424883,23.237336482619202,94.87230780637492,0.00022026406955725394,2.4101023707159754,0.6750506637939436,2.6068721349306014,0.04413224380333872
402,4.904119829221165,24.1977406055676,-22.820909274753216,23.42719983128406,94.8572400205103,0.0003419512035560725,3.7065462819057102,0.9565437542553243,3.562863832179208,0.06851141159975331
403,4.903929536373244,25.795029580164652,-23.25926541534455,21.71716780489518,94.89536219029182,0.0002471343460323654,3.1686873931418953,0.7669089328220624,2.8021938174614696,0.04951805115631487
404,4.904218650212803,24.6180198672381,-23.015919229548054,22.616489097475032,94.83743694481545,nan,nan,nan,nan,nan
405,4.9039304199651985,23.68623162903752,-22.70921482470145,23.7972038173625,94.89518918548511,0.0003499556174784835,2.7946216632657475,0.7266630068273209,2.772921643082925,0.07011460641881705
