POI,lat[deg],lon[deg]
467,77.1429,137.455
468,77.1429,144
469,77.1429,150.545
470,77.1429,157.091
471,77.1429,163.636
472,77.1429,170.182
473,77.1429,176.727
474,77.1429,183.273
475,77.1429,189.818
476,77.1429,196.364
477,77.1429,202.909
478,77.1429,209.455
479,77.1429,216
480,77.1429,222.545
481,77.1429,229.091
482,77.1429,235.636
483,77.1429,242.182
484,77.1429,248.727
485,77.1429,255.273
486,77.1429,261.818
487,77.1429,268.364
488,77.1429,274.909
489,77.1429,281.455
490,77.1429,288
491,77.1429,294.545
492,77.1429,301.091
493,77.1429,307.636
494,77.1429,314.182
495,77.1429,320.727
496,77.1429,327.273
497,77.1429,333.818
498,77.1429,340.364
499,77.1429,346.909
500,77.1429,353.455
501,-77.1429,0
502,-77.1429,6.54545
503,-77.1429,13.0909
504,-77.1429,19.6364
505,-77.1429,26.1818
506,-77.1429,32.7273
507,-77.1429,39.2727
508,-77.1429,45.8182
509,-77.1429,52.3636
510,-77.1429,58.9091
511,-77.1429,65.4545
512,-77.1429,72
513,-77.1429,78.5455
514,-77.1429,85.0909
515,-77.1429,91.6364
516,-77.1429,98.1818
517,-77.1429,104.727
518,-77.1429,111.273
519,-77.1429,117.818
520,-77.1429,124.364
521,-77.1429,130.909
522,-77.1429,137.455
523,-77.1429,144
524,-77.1429,150.545
525,-77.1429,157.091
526,-77.1429,163.636
527,-77.1429,170.182
528,-77.1429,176.727
529,-77.1429,183.273
530,-77.1429,189.818
531,-77.1429,196.364
532,-77.1429,202.909
533,-77.1429,209.455
534,-77.1429,216
535,-77.1429,222.545
536,-77.1429,229.091
537,-77.1429,235.636
538,-77.1429,242.182
539,-77.1429,248.727
540,-77.1429,255.273
541,-77.1429,261.818
542,-77.1429,268.364
543,-77.1429,274.909
544,-77.1429,281.455
545,-77.1429,288
546,-77.1429,294.545
547,-77.1429,301.091
548,-77.1429,307.636
549,-77.1429,314.182
550,-77.1429,320.727
551,-77.1429,327.273
552,-77.1429,333.818
553,-77.1429,340.364
554,-77.1429,346.909
555,-77.1429,353.455
556,75.7143,0
557,75.7143,5.80645
558,75.7143,11.6129
559,75.7143,17.4194
560,75.7143,23.2258
561,75.7143,29.0323
562,75.7143,34.8387
563,75.7143,40.6452
564,75.7143,46.4516
565,75.7143,52.2581
566,75.7143,58.0645
567,75.7143,63.871
568,75.7143,69.6774
569,75.7143,75.4839
570,75.7143,81.2903
571,75.7143,87.0968
572,75.7143,92.9032
573,75.7143,98.7097
574,75.7143,104.516
